                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.59644,                0.39792,                 1.7223,                0.58541,                0.62636,                0.56038,                0.45527,                0.77965,                0.52905,                  2.035,              0.0013666,              0.0013666,              0.0013666
                     93,                0.58242,                0.37887,                 1.7185,                0.63172,                0.62302,                0.58764,                0.45108,                0.99481,                 0.5866,                 2.1472,              0.0013633,              0.0013633,              0.0013633
                     94,                 0.5739,                0.36058,                 1.7047,                0.54093,                0.60682,                0.54587,                0.44257,                0.81554,                0.54428,                  2.022,                0.00136,                0.00136,                0.00136
                     95,                0.59837,                0.37868,                 1.7067,                 0.6075,                0.58648,                 0.5739,                0.44422,                0.92558,                0.56514,                 2.1027,              0.0013567,              0.0013567,              0.0013567
                     96,                0.57731,                0.37423,                 1.7204,                0.52497,                0.60682,                0.55019,                0.45408,                 0.7567,                0.54945,                  1.967,              0.0013534,              0.0013534,              0.0013534
                     97,                 0.5794,                0.37946,                 1.7239,                0.53684,                0.59253,                0.52677,                0.43989,                0.75596,                0.53436,                 2.0082,              0.0013501,              0.0013501,              0.0013501
                     98,                0.58186,                0.37931,                 1.7101,                0.60581,                0.60495,                0.58556,                0.48488,                0.77309,                0.54484,                  1.981,              0.0013468,              0.0013468,              0.0013468
                     99,                 0.5813,                0.38464,                 1.7423,                0.67319,                0.55966,                0.55104,                0.45088,                0.80211,                0.52673,                 2.0059,              0.0013435,              0.0013435,              0.0013435
                    100,                0.59315,                0.37262,                  1.698,                0.60381,                0.56334,                0.53251,                0.40936,                0.96565,                0.57034,                  2.129,              0.0013402,              0.0013402,              0.0013402
                    101,                0.57429,                0.37181,                 1.7179,                0.50844,                0.78261,                 0.5253,                0.40919,                0.94782,                0.54981,                 2.0903,              0.0013369,              0.0013369,              0.0013369
                    102,                0.59047,                0.38411,                 1.7245,                0.57115,                0.54348,                0.54601,                0.43366,                0.91084,                0.60447,                 2.0744,              0.0013336,              0.0013336,              0.0013336
                    103,                 0.5777,                0.37858,                 1.7124,                0.54178,                0.63188,                0.56806,                0.46315,                0.78042,                0.60618,                 2.0298,              0.0013303,              0.0013303,              0.0013303
                    104,                0.57898,                0.37468,                 1.7158,                0.56423,                 0.6492,                0.55419,                0.45513,                 0.7822,                0.54559,                 1.9941,               0.001327,               0.001327,               0.001327
